no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,arrival_month,arrival_date,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,no_of_special_requests,lead_time,avg_price_per_room,booking_status
2,0,0,1,0,0,0,8,5,0,0,0,1,0.75,-0.76,0
2,0,1,2,2,0,0,12,19,0,0,0,0,-0.55,-0.12,0
2,0,2,1,2,0,0,7,11,0,0,0,0,0.14,-0.35,1
2,0,0,2,0,0,1,5,19,0,0,0,1,-0.67,0.18,0
2,0,2,2,0,0,1,3,20,0,0,0,0,-0.09,-0.46,0
2,0,0,2,0,0,0,11,11,0,0,0,0,-0.46,-0.95,0
2,2,0,2,1,0,2,8,7,0,0,0,1,-1.02,1.46,0
2,0,0,2,1,0,1,9,16,0,0,0,2,-0.84,0.28,0
2,0,0,4,0,0,0,4,20,0,0,0,0,2.26,-1.33,1
2,0,2,1,0,0,1,6,19,0,0,0,0,-0.61,0.51,1
2,0,0,4,0,0,3,7,12,0,0,0,1,1.58,-0.75,1
2,0,1,1,0,0,0,11,2,0,0,0,1,-1.02,-0.06,0
2,0,0,5,0,0,1,10,4,0,0,0,2,-0.53,1.04,0
1,0,0,2,0,0,0,1,19,0,0,0,0,0.81,-1.07,0
1,0,2,4,0,0,0,11,5,0,0,0,1,-0.84,0.07,0
2,0,2,2,1,0,0,6,11,0,0,0,0,0.46,0.12,0
2,0,2,1,0,0,0,1,24,0,0,0,1,-0.84,-1.14,0
2,0,0,2,0,0,1,6,29,0,0,0,0,-0.59,0.84,0
2,0,1,3,0,0,0,11,17,0,0,0,1,-0.67,-0.49,0
2,0,0,2,2,0,0,8,14,0,0,0,0,-0.55,-0.13,0
2,0,1,2,0,0,1,3,25,0,0,0,1,0.06,-0.01,1
1,0,1,1,0,0,0,12,10,0,0,0,2,0.06,-0.3,0
2,0,1,2,0,0,1,7,29,0,0,0,1,0.58,0.59,0
2,0,1,1,0,0,1,6,18,0,0,0,0,-0.49,-0.29,0
2,0,0,1,0,0,0,1,28,0,0,0,1,-1,-0.43,0
2,0,0,1,0,0,0,5,10,0,0,0,0,-1.01,-0.67,1
2,0,0,2,0,0,0,10,21,0,0,0,1,-0.71,1.03,0
2,0,0,5,0,0,1,8,9,0,0,0,1,0.43,0.68,0
2,0,1,2,0,0,0,9,23,0,0,0,1,-0.79,1.03,0
2,0,2,3,0,1,0,8,21,0,0,0,2,1.49,-0.9,0
2,0,0,2,2,0,0,7,17,0,0,0,0,2.29,0.1,1
2,0,0,2,2,0,0,8,14,0,0,0,0,-0.55,-0.13,0
2,0,1,0,0,0,0,10,16,0,0,0,0,2.45,-0.49,1
2,0,0,3,0,0,0,3,3,0,0,0,0,-0.48,-0.85,1
1,0,0,2,2,0,0,7,17,0,0,0,0,2.29,-0.58,0
2,0,0,3,0,0,0,7,13,0,0,0,0,0.2,-0.01,1
2,0,0,4,0,0,0,8,10,0,0,0,2,1.14,-0.2,0
2,0,0,2,0,0,0,9,15,0,0,0,0,2.83,0.44,1
2,0,1,2,0,0,0,9,30,0,0,0,0,2.22,-0.33,1
1,0,0,3,0,0,0,5,17,0,0,0,0,-0.12,0.65,0
2,0,2,3,0,0,0,4,8,0,0,0,0,2.23,-0.86,1
3,0,2,4,0,0,0,9,5,0,0,0,1,-0.83,0.36,0
2,0,1,3,0,0,0,9,26,0,0,0,0,2.01,-0.33,1
2,0,0,3,0,0,1,7,14,0,0,0,0,-0.66,1.35,1
1,0,0,2,0,0,0,10,11,0,0,0,0,1.18,0.44,1
2,0,2,1,0,0,0,7,9,0,0,0,1,1.32,-1.09,0
3,0,0,3,0,0,1,8,4,0,0,0,1,0.53,1.08,0
1,0,0,1,0,0,0,12,15,0,0,0,0,-0.89,-1.26,0
1,0,1,0,0,0,0,4,25,1,0,4,0,-0.99,-1.26,0
2,0,2,5,0,0,0,9,27,0,0,0,1,1.35,0.21,1
2,0,3,5,0,0,2,5,22,0,0,0,0,0.86,2.21,1
2,0,2,2,0,0,0,9,4,0,0,0,2,0.69,0.86,0
1,0,0,3,0,0,0,1,19,0,0,0,0,-0.88,-1.04,0
2,0,2,3,0,0,0,3,11,0,0,0,1,-0.67,-1.29,0
2,0,0,3,0,0,0,2,17,0,0,0,0,-0.49,-0.95,0
2,0,2,1,2,0,0,8,8,0,0,0,0,-0.97,-0.35,0
2,0,1,2,0,0,0,6,3,0,0,0,0,1.3,0.81,1
3,0,0,1,0,0,1,7,13,0,0,0,0,0,0.99,0
2,0,0,1,1,0,0,10,27,0,0,0,0,-0.78,-0.64,0
2,0,0,3,1,0,0,10,25,0,0,0,0,-0.77,-0.64,0
3,0,1,2,0,0,1,9,2,0,0,0,0,-0.46,1.12,0
1,0,2,4,0,0,0,6,12,0,0,0,0,-0.19,0.44,1
2,0,0,3,1,0,0,8,3,0,0,0,1,0.53,-0.35,0
2,0,0,2,2,0,0,10,16,0,0,0,0,0.22,0.1,0
1,0,0,2,0,0,0,10,2,0,0,0,0,0.97,-0.18,0
2,0,2,0,0,0,0,12,6,1,1,0,2,-0.87,0.04,0
1,0,0,2,0,0,0,10,7,0,0,0,0,1.77,-0.07,1
2,0,2,2,0,1,3,5,6,0,0,0,0,1.28,0.11,1
2,0,0,3,0,0,0,9,8,0,0,0,1,1.2,0.13,1
2,0,0,1,2,0,0,9,18,0,0,0,0,-0.15,0.07,0
1,0,1,0,0,0,0,9,21,0,0,0,0,-0.96,1.21,0
3,0,0,1,0,0,1,3,29,0,0,0,1,-0.29,0.54,1
2,1,1,3,1,0,0,3,21,0,0,0,0,-0.7,-1.33,0
1,0,1,2,0,0,0,6,6,0,0,0,0,0.41,0.41,0
1,0,2,3,0,0,0,8,14,0,0,0,1,-0.95,-0.7,0
2,0,0,2,0,0,0,8,3,0,0,0,1,-0.74,1.4,0
2,0,1,0,0,0,0,8,21,0,0,0,0,-0.96,1.89,1
1,0,0,1,0,0,0,7,5,0,0,0,1,-1.02,0.9,0
2,0,1,1,0,0,0,3,19,0,0,0,1,-0.78,0.1,0
2,0,1,2,1,0,0,3,11,0,0,0,0,-0.82,-0.27,1
2,0,2,1,1,0,0,12,4,0,0,0,1,-0.48,-1.38,0
2,0,2,4,1,0,0,6,16,0,0,0,0,-0.06,0.46,0
2,0,0,1,0,0,1,6,28,0,0,0,0,-0.09,-0.23,1
2,0,1,2,0,0,0,5,13,0,0,0,0,2.29,-0.33,1
1,0,0,2,0,0,0,6,15,0,0,0,0,1.26,0.75,1
1,0,0,2,0,0,0,10,15,0,0,0,0,-0.85,-0.18,0
2,0,0,1,0,0,0,3,2,0,0,0,1,-0.95,-0.39,1
1,0,0,2,0,0,0,10,2,0,0,0,0,0.97,-0.18,0
2,0,1,2,0,0,3,6,10,0,0,0,0,0.64,-0.77,0
2,0,0,2,1,0,0,11,17,0,0,0,2,-0.74,-0.55,0
1,0,0,1,0,0,0,6,7,0,0,0,0,-1.01,-0.33,0
2,0,0,1,1,0,0,3,17,0,0,0,1,-0.43,-1.07,1
2,0,0,3,1,0,0,8,11,0,0,0,2,0.6,-0.07,0
2,0,0,2,1,0,0,2,26,0,0,0,0,-0.95,-0.83,1
1,0,1,2,0,0,0,4,1,0,0,0,1,-0.51,0.21,0
2,1,1,3,0,0,1,10,19,0,0,0,2,-0.71,-0.49,0
2,0,0,3,0,0,0,11,1,0,0,0,0,-0.5,-0.95,0
2,0,1,2,0,0,1,9,5,0,0,0,1,-0.9,1.8,0
2,0,0,1,0,0,0,4,22,0,0,0,0,-0.83,0.35,1
2,0,2,2,0,0,0,3,20,0,0,0,0,-0.29,-0.95,1
2,0,0,2,0,0,0,11,4,0,0,0,0,-0.4,-0.95,0
2,0,0,3,0,0,0,2,16,0,0,0,0,-0.83,-1.24,0
2,0,2,8,0,0,0,9,6,0,0,0,2,0.37,0.74,0
2,0,0,2,1,0,0,10,25,0,0,0,2,-0.46,0.42,0
2,0,1,1,2,0,0,7,30,0,0,0,1,2.63,0.28,1
2,0,1,5,0,0,0,10,4,0,0,0,0,3.22,0.54,1
2,0,1,1,2,0,1,6,4,0,0,0,1,-0.31,1.46,1
2,0,2,1,0,0,0,9,10,0,0,0,1,1.32,-0.25,0
2,0,0,3,0,0,0,10,15,0,0,0,0,1.32,-1.26,1
2,0,0,1,0,1,0,6,3,0,0,0,0,0.79,0.57,0
2,0,1,3,1,0,0,7,4,0,0,0,1,1.2,-0.23,1
2,0,2,4,0,0,1,10,5,0,0,0,2,1.75,0.3,1
2,0,1,2,0,0,0,3,4,0,0,0,0,-0.67,-0.58,0
3,0,2,1,0,0,1,7,24,0,0,0,0,0.32,0.99,1
2,0,2,1,0,0,0,5,1,0,0,0,0,-0.02,-0.95,0
2,0,1,2,0,0,0,9,30,0,0,0,0,2.29,0.01,1
3,0,2,1,0,0,1,2,13,0,0,0,1,-0.91,0.65,0
2,0,1,2,0,0,0,10,3,0,0,0,1,-0.78,1.33,0
2,0,0,1,0,0,3,7,9,0,0,0,1,2.06,-0.16,1
2,0,2,1,0,0,0,5,1,0,0,0,0,-0.61,0.65,1
2,0,0,2,0,0,0,2,12,0,0,0,1,-0.67,-0.6,0
1,0,2,0,2,0,0,10,23,0,0,0,0,1.41,-0.49,0
2,0,2,5,1,0,0,12,4,0,0,0,2,-0.6,-0.96,0
2,0,2,2,0,0,0,2,13,0,0,0,1,-0.82,-1.36,0
2,0,1,2,1,0,0,12,16,0,0,0,1,-0.46,-0.82,0
1,0,0,2,2,0,0,6,24,0,0,0,0,2.2,-0.49,0
1,0,2,1,0,0,0,2,28,0,0,0,0,-1.01,-1.41,1
2,0,0,1,2,0,0,12,28,0,0,0,1,-0.6,2.38,0
2,0,2,3,0,0,0,10,18,0,0,0,1,-0.42,-0.35,0
2,0,0,3,0,0,1,7,21,0,0,0,0,0.17,0.59,1
2,0,0,3,0,0,0,11,23,0,0,0,2,2.72,-0.85,1
2,0,0,3,0,0,0,11,22,0,0,0,1,-0.72,-0.79,0
1,0,2,1,0,0,0,2,28,0,0,0,0,-1.01,-1.41,1
2,0,0,3,0,0,0,12,3,0,0,0,0,0.24,-0.95,0
1,0,0,1,1,0,0,6,23,0,0,0,0,-0.85,-0.67,0
2,0,1,4,0,0,3,1,25,0,0,0,0,-0.83,-0.88,0
2,0,2,2,0,0,0,10,4,0,0,0,2,-0.72,-0.67,0
2,0,2,4,0,0,0,8,12,0,0,0,2,-0.95,-0.49,0
2,0,2,5,1,0,0,8,23,0,0,0,0,-1,-0.6,0
2,0,1,3,0,0,0,10,27,0,0,0,2,1.89,-0.46,0
2,0,0,2,0,1,0,9,6,0,0,0,1,-0.74,0.38,0
1,0,1,0,0,1,0,11,28,1,0,4,0,-0.48,-1.2,0
2,0,0,3,1,0,0,10,11,0,0,0,0,-0.45,0.07,0
2,0,1,2,0,0,0,6,20,0,0,0,0,1.32,0.44,1
3,0,0,3,0,0,0,8,5,0,0,0,0,-0.88,-0.49,0
2,0,0,2,1,0,0,8,18,0,0,0,0,-0.4,0.6,1
2,0,0,1,1,0,0,9,2,0,0,0,1,-0.63,-1.03,0
2,0,1,2,1,0,0,6,10,0,0,0,2,0.17,0.32,0
2,0,2,1,1,0,0,4,24,0,0,0,0,-0.16,-0.53,0
2,0,2,2,0,0,0,4,29,0,0,0,0,-0.57,0.65,1
3,0,2,3,0,0,1,10,7,0,0,0,1,1.9,1.38,1
2,0,1,1,0,1,1,5,28,0,0,0,1,0.56,0.87,0
2,0,2,1,0,0,0,9,18,0,0,0,2,-0.73,1.33,0
1,0,1,1,0,0,0,5,2,0,0,0,0,0.36,-0.18,1
1,0,2,0,0,0,0,5,29,0,0,0,1,-0.88,-0.27,0
1,0,0,2,2,0,0,9,13,0,0,0,0,3.18,-0.49,0
2,0,0,1,1,0,0,4,14,0,0,0,0,-0.65,-0.35,1
3,0,2,2,0,0,1,6,4,0,0,0,2,1.3,-0.14,1
2,0,0,3,1,0,0,3,24,0,0,0,0,0.18,-0.63,0
2,0,1,1,1,0,0,12,26,0,0,0,1,0.5,-0.82,1
2,0,2,3,0,0,1,1,8,0,0,0,0,-1.01,-1.42,0
2,0,0,4,0,0,0,12,27,0,0,0,1,-0.57,0.09,0
2,0,0,2,0,0,0,9,27,0,0,0,0,-0.97,2.54,0
2,0,2,1,0,0,0,10,4,0,0,0,1,-0.65,-0.35,0
2,0,1,3,0,0,1,9,19,0,0,0,1,-0.71,1.95,0
2,0,2,1,0,0,0,1,3,0,0,0,0,0.74,-1.26,0
2,2,1,0,0,0,2,12,4,0,0,0,0,-0.96,1.57,0
2,0,1,0,0,0,0,3,20,0,0,0,0,-1.02,1.03,0
3,0,2,1,0,0,1,8,7,0,0,0,2,1.35,1.26,1
3,0,0,1,0,0,1,4,21,0,0,0,1,-0.2,0.99,1
1,0,0,4,0,0,0,10,19,0,0,0,1,1.32,-1.02,0
2,0,0,2,0,0,0,5,20,0,0,0,0,-0.76,1.06,0
2,0,0,1,1,0,0,11,7,0,0,0,1,-0.91,-0.92,0
2,0,0,3,2,0,0,9,30,0,0,0,0,0.01,0.59,0
1,2,1,0,0,0,0,7,25,0,0,0,2,-0.59,1.71,0
2,1,1,3,2,0,0,7,25,0,0,0,1,1.15,-0.62,0
2,0,1,1,1,0,0,10,3,0,0,0,0,-0.88,0.9,1
2,0,0,2,1,0,0,12,16,0,0,0,0,-0.82,-0.55,0
1,0,0,1,0,1,0,3,2,1,0,1,0,-1.02,-1.26,0
2,1,0,1,0,0,0,6,28,0,0,0,2,0.19,0.76,1
2,0,0,4,0,0,1,5,11,0,0,0,0,-0.66,1.35,1
1,0,1,0,0,0,0,9,19,0,0,0,0,-0.78,0.41,0
1,0,0,1,0,0,0,12,13,1,0,1,0,-0.94,-0.55,0
2,0,2,1,0,0,0,4,3,0,0,0,2,-0.15,-0.57,0
2,0,0,3,0,0,0,10,21,0,0,0,0,-0.93,-0.64,0
2,0,0,2,0,0,3,7,21,0,0,0,0,1.47,-0.59,1
3,0,2,1,2,0,0,3,27,0,0,0,2,0.46,0.69,0
2,0,2,1,0,0,0,11,19,0,0,0,2,-0.89,0.06,0
2,0,0,4,0,0,0,10,13,0,0,0,2,-0.67,-0.21,0
2,0,2,2,0,0,0,11,13,0,0,0,1,-0.78,-0.47,0
2,0,2,3,2,0,0,12,22,0,0,0,1,1.64,0.01,0
2,0,0,1,2,0,0,10,16,0,0,0,0,0.19,0.07,1
2,1,2,1,1,0,0,8,6,0,0,0,0,0.51,-0.39,1
2,0,2,3,1,0,0,9,30,0,0,0,0,1.69,-0.98,1
2,0,0,1,0,0,0,2,20,0,0,0,0,-0.97,-0.39,0
2,0,0,1,0,0,0,1,19,0,0,0,1,-0.91,-0.79,0
2,0,2,1,1,0,0,6,26,0,0,0,1,-0.12,-0.44,0
1,0,1,0,0,0,0,10,10,0,0,0,0,-0.63,-0.33,0
2,0,0,1,0,0,0,5,21,0,0,0,0,-0.43,0.65,1
2,0,1,0,0,0,0,7,11,0,0,0,2,-0.97,1.4,0
2,0,0,2,2,0,0,9,18,0,0,0,0,-0.12,0.1,0
1,0,1,1,2,0,0,6,6,0,0,0,0,1.98,-0.49,0
2,0,0,3,0,0,1,9,27,0,0,0,3,0,1.35,0
2,0,0,2,0,0,0,3,4,0,0,0,0,-0.37,-0.79,0
2,0,1,2,0,0,0,8,24,0,0,0,1,0.29,-0.9,0
1,0,0,1,0,0,0,8,2,0,0,0,1,-0.96,-1.26,0
2,0,1,5,0,0,0,10,4,0,0,0,0,3.22,-0.49,1
3,0,0,3,0,0,1,12,28,0,0,0,3,0.05,0.61,0
2,0,1,1,2,0,0,10,5,0,0,0,0,0.05,0.2,0
2,1,2,3,0,0,0,2,13,0,0,0,1,-0.2,-1.48,0
1,0,0,2,0,0,0,4,19,0,0,0,0,0.23,0.28,1
3,0,2,3,0,1,1,8,18,0,0,0,2,-0.44,2.21,0
2,0,0,3,0,0,0,12,8,0,0,0,0,-0.73,-0.58,0
2,0,2,3,2,0,0,8,19,0,0,0,0,0.97,0.85,1
3,0,1,3,0,0,0,12,29,0,0,0,1,1.94,2.17,0
2,2,1,0,0,0,2,8,23,0,0,0,0,-0.9,1.46,0
2,0,2,2,1,0,0,3,13,0,0,0,0,-0.39,-1.69,0
2,1,2,1,0,0,0,6,18,0,0,0,0,-0.74,1.33,1
1,0,0,1,0,0,0,2,16,0,0,0,0,-0.54,-1.02,1
2,0,1,0,0,0,0,9,20,0,0,0,0,0.69,-0.49,0
2,0,1,1,0,0,1,10,15,0,0,0,2,-0.71,1.64,0
2,0,1,3,0,0,0,4,4,0,0,0,0,-0.31,-0.77,0
1,0,2,0,0,0,0,6,19,0,0,0,0,-1.01,0.9,0
1,0,1,1,2,0,0,6,6,0,0,0,0,1.98,-0.49,0
1,0,1,3,0,0,0,6,6,0,0,0,0,0.41,0.13,0
1,0,0,3,0,0,0,7,20,0,0,0,0,1.36,-0.63,1
1,0,2,1,0,0,0,4,9,0,0,0,0,-1.02,-0.06,0
2,0,2,1,0,0,0,5,22,0,0,0,2,-0.44,-0.4,0
2,0,1,3,0,0,0,8,29,0,0,0,1,-0.96,1.03,0
3,0,1,3,0,0,1,10,6,0,0,0,0,-0.63,2.18,1
2,0,1,2,1,0,0,10,31,0,0,0,1,-0.31,-1.4,0
2,0,0,3,0,0,0,12,8,0,0,0,0,0.88,-1.17,0
2,0,0,5,1,0,0,9,6,0,0,0,1,-0.97,1.33,0
2,0,2,2,0,0,0,6,19,0,0,0,0,-0.27,0.03,1
2,1,2,2,1,0,0,4,8,0,0,0,1,0.12,-0.3,0
2,0,2,2,0,0,5,10,1,0,0,0,2,-0.96,3.57,0
2,0,0,4,2,0,0,5,17,0,0,0,1,2.9,0.19,1
2,0,2,2,0,0,1,4,17,0,0,0,0,0.18,-0.39,1
3,0,2,1,0,0,1,7,31,0,0,0,0,0.2,1.08,0
2,0,0,1,1,0,0,7,7,0,0,0,0,-0.17,0.04,1
3,0,0,4,0,0,1,4,27,0,0,0,2,-0.56,1.33,0
2,0,2,2,0,0,0,10,16,0,0,0,0,-0.37,-1.04,1
1,0,0,2,0,0,0,10,7,0,0,0,0,0.05,-1.07,0
1,0,0,2,0,0,0,1,12,1,1,0,0,-0.97,-1.23,0
2,0,0,1,1,0,0,8,24,0,0,0,1,-0.97,0.41,0
2,0,2,2,0,0,0,10,29,0,0,0,1,1.72,-1.1,0
2,0,1,2,0,0,0,6,17,0,0,0,0,-0.19,0.65,0
2,0,0,2,0,1,0,8,23,0,0,0,1,-0.97,1.58,0
4,0,0,3,0,0,5,12,8,0,0,0,1,0.3,2.36,0
2,0,0,3,1,0,0,10,6,0,0,0,2,0.09,0.07,1
2,0,0,2,0,0,0,5,20,0,0,0,0,1.54,-0.18,1
2,0,0,2,0,0,0,6,2,0,0,0,0,0.34,-0.18,0
2,1,2,3,0,0,1,4,23,0,0,0,1,1.5,-0.49,0
2,0,0,3,0,0,0,11,3,0,0,0,0,2.67,-0.52,1
2,0,0,1,0,0,0,1,5,0,0,0,0,-1.01,-0.89,0
1,0,1,0,1,0,0,6,13,0,0,0,0,-0.89,-0.7,0
3,0,1,3,0,0,5,7,14,0,0,0,2,-0.17,1.85,0
2,0,2,1,0,0,0,3,26,0,0,0,1,0.19,-0.48,0
2,0,1,2,0,0,0,4,8,0,0,0,0,0.12,-0.29,1
1,0,0,2,0,0,0,8,18,0,0,0,1,-0.45,-0.18,0
1,0,0,1,0,0,0,9,15,0,0,0,0,-1,1.77,0
2,0,0,2,0,0,0,12,9,0,0,0,0,2.89,-1.66,0
2,0,0,3,0,0,0,11,19,0,0,0,1,-0.76,-0.33,0
2,0,0,3,0,0,0,2,17,0,0,0,0,-0.49,-0.95,0
1,0,0,1,0,0,1,9,30,0,0,0,2,-0.9,2.75,0
2,0,0,3,0,0,0,1,14,0,0,0,1,-0.42,-1.66,0
2,0,0,4,0,0,1,11,1,0,0,0,1,0.09,-0.07,0
2,0,1,4,1,0,0,8,3,0,0,0,1,1.36,-0.77,0
2,2,0,3,0,0,3,1,14,0,0,0,0,-0.5,-0.59,1
2,0,1,2,0,0,1,7,1,0,0,0,0,-0.11,0.79,1
1,0,1,0,0,0,0,3,20,0,0,0,0,-0.87,-0.95,0
3,0,1,4,0,0,1,7,27,0,0,0,0,-0.22,1.1,0
2,0,2,3,0,0,0,11,18,0,0,0,5,-0.46,-1.16,0
2,0,0,2,2,0,0,9,4,0,0,0,0,-0.26,0.32,0
2,0,0,2,1,0,0,9,9,0,0,0,1,-1.01,0.28,0
2,0,0,1,1,0,0,9,3,0,0,0,0,-0.9,0.72,1
1,0,0,2,0,0,0,10,29,0,0,0,0,-0.31,-0.95,0
2,0,1,2,0,0,0,10,12,0,0,0,1,-0.61,-0.07,0
2,0,0,1,0,1,0,11,25,0,0,0,0,-0.85,-0.92,0
2,0,1,2,2,0,0,3,25,0,0,0,0,0.93,0.75,1
2,0,0,4,0,0,0,10,13,0,0,0,1,-0.45,-0.35,0
2,0,0,3,0,0,3,9,14,0,0,0,0,1.67,0.32,1
2,0,2,6,0,0,0,8,3,0,0,0,0,0.7,-0.03,1
2,0,2,3,0,0,1,8,26,0,0,0,1,-0.95,-0.13,0
3,0,1,1,0,0,1,7,2,0,0,0,1,-0.45,1.37,1
2,0,2,1,0,0,1,4,16,0,0,0,0,0.41,-0.31,1
2,0,0,2,0,0,0,10,21,0,0,0,0,2.17,0.13,1
3,0,1,2,0,0,1,6,17,0,0,0,2,-0.37,1.65,0
2,0,0,3,0,0,0,9,21,0,0,0,1,2.27,-0.14,1
3,0,0,4,0,0,1,12,7,0,0,0,1,2.12,-0.04,0
3,0,0,1,0,0,1,4,21,0,0,0,2,-0.31,0.99,0
1,0,0,2,0,0,0,10,2,0,0,0,0,0.97,-0.18,1
2,0,1,3,0,0,0,8,17,0,0,0,3,-0.97,0.5,0
2,0,0,2,0,0,0,9,15,0,0,0,0,2.83,0.44,1
2,0,0,3,0,0,0,8,25,0,0,0,0,0.71,-0.18,0
2,0,0,2,0,0,0,6,17,0,0,0,0,1.95,-0.95,1
2,0,0,1,1,0,0,9,2,0,0,0,0,-0.99,-0.6,0
2,0,1,3,0,0,1,9,8,0,0,0,1,-0.2,1.35,0
2,0,2,1,0,0,0,10,29,0,0,0,2,1.33,-0.29,1
3,0,1,5,0,0,1,6,28,0,0,0,0,-0.94,2.35,0
1,0,0,2,0,0,0,4,27,0,0,0,0,-0.91,-0.33,0
1,0,0,3,0,0,0,4,14,0,0,0,1,-0.67,-0.69,0
2,2,0,1,0,0,2,8,21,0,0,0,1,-1.02,2.11,0
2,0,0,1,0,0,0,9,7,0,0,0,3,-0.66,0.1,0
1,0,2,2,0,0,0,7,9,0,0,0,0,0.18,0.19,1
1,0,0,3,0,0,0,10,6,1,1,0,0,-0.79,-0.8,0
1,0,0,1,0,0,0,12,16,0,0,0,0,-0.97,-1.1,0
3,0,2,1,0,0,1,4,9,0,0,0,2,-0.17,0.99,0
2,0,0,1,1,0,0,7,6,0,0,0,0,-0.15,0.04,1
1,0,1,1,0,0,0,7,11,1,1,16,1,-0.94,-1.2,0
2,0,1,0,0,0,0,8,21,0,0,0,0,-0.96,1.89,1
2,0,0,3,0,0,0,2,17,0,0,0,0,-0.49,-0.95,0
2,0,1,0,0,0,0,11,27,0,0,0,1,-0.76,-0.06,0
1,0,0,2,0,0,0,6,24,0,0,0,0,1.31,-0.33,0
2,0,0,3,0,0,0,9,21,0,0,0,1,2.27,-0.14,1
2,0,2,0,0,0,0,11,20,0,0,0,2,0.13,-0.65,1
1,0,1,2,0,0,0,7,1,0,0,0,0,0.85,-0.95,1
1,0,0,3,0,0,0,9,22,0,0,0,0,2.33,-0.31,0
2,0,1,1,2,0,0,7,30,0,0,0,1,2.63,0.28,1
2,0,0,2,0,0,0,4,15,0,0,0,0,0.46,-0.64,0
2,0,0,3,0,0,0,5,4,0,0,0,0,0.23,-0.8,0
2,0,1,2,0,0,1,12,16,0,0,0,0,1.22,-0.07,0
2,0,1,2,1,0,0,12,16,0,0,0,0,1.22,-0.82,1
2,0,2,2,0,0,0,9,6,0,0,0,0,1.52,-0.51,1
3,0,0,1,0,0,1,12,30,0,0,0,0,-0.48,1.9,1
2,0,0,1,0,0,1,6,3,0,0,0,0,-0.37,1.07,0
2,0,0,3,2,0,0,9,23,0,0,0,0,-0.61,3.67,1
2,0,0,3,0,0,0,5,4,0,0,0,0,0.23,-0.8,0
2,0,1,3,2,0,0,7,11,0,0,0,0,0.17,1.11,0
2,0,0,2,0,0,0,8,10,0,0,0,1,0.82,0.26,1
2,0,2,5,0,0,0,8,29,0,0,0,0,1.73,-0.77,0
2,1,2,2,0,0,0,10,16,0,0,0,1,-0.29,-0.65,0
1,0,1,3,0,0,0,12,19,0,0,0,0,-0.67,-0.54,0
1,0,2,2,0,0,1,4,10,0,0,0,0,-0.43,0.2,1
2,1,0,2,0,0,0,3,23,0,0,0,1,-1,0.37,0
2,0,2,4,1,0,0,8,28,0,0,0,0,1.22,-1.38,1
2,0,0,1,0,0,0,6,9,0,0,0,0,-0.7,0.44,0
2,0,0,3,0,0,0,8,9,0,0,0,1,1.2,0.19,1
2,0,2,2,2,0,0,9,3,0,0,0,1,-0.28,0.01,0
1,0,2,4,0,0,0,7,6,0,0,0,0,1.95,0.13,1
1,0,0,1,0,0,0,8,2,0,0,0,0,-1,-0.1,0
1,0,0,1,0,0,0,6,8,1,1,6,1,-0.95,-1.26,0
3,0,0,2,0,0,1,11,16,0,0,0,0,1.39,1.06,1
2,0,0,1,2,0,0,4,6,0,0,0,0,-0.36,-0.06,0
3,0,3,6,0,0,1,8,22,0,0,0,0,-0.42,1.66,1
2,1,1,2,0,0,0,4,22,0,0,0,0,-0.91,1.33,1
2,0,2,5,0,0,1,7,16,0,0,0,1,0.59,0.27,0
1,0,0,2,0,0,0,1,19,0,0,0,0,0.81,-1.07,0
2,1,1,2,0,0,1,5,13,0,0,0,0,-0.2,1.07,1
2,0,2,3,0,0,1,11,1,0,0,0,1,-0.53,-1.41,0
3,0,0,3,0,0,1,12,8,0,0,0,1,-0.36,-0.14,0
2,0,2,1,0,0,0,1,3,0,0,0,0,0.74,-1.26,0
1,0,1,2,2,0,0,3,25,0,0,0,0,0.93,-0.02,1
1,0,1,5,0,0,1,11,14,0,0,0,2,-0.84,-0.27,0
2,0,2,4,0,0,1,5,19,0,0,0,1,0.11,0.83,0
2,0,0,1,0,0,0,4,6,0,0,0,0,-0.36,-0.8,0
1,0,0,2,0,0,0,9,9,0,0,0,0,0.01,-0.49,0
1,0,0,2,0,0,0,6,24,0,0,0,0,1.31,-0.33,0
1,0,0,1,0,0,0,9,22,0,0,0,2,-1.02,2.6,0
1,0,0,2,1,0,0,6,14,0,0,0,1,-1,-0.06,0
2,0,1,2,0,0,0,11,4,0,0,0,2,0.02,-0.49,0
1,0,0,3,0,0,0,10,6,1,1,0,0,-0.79,-0.8,0
2,0,2,0,1,0,0,12,25,0,0,0,0,-1.02,-0.8,0
2,0,0,1,0,0,1,9,28,0,0,0,0,-0.84,1.8,0
2,0,0,4,1,0,0,11,1,0,0,0,1,-0.88,-0.38,0
2,0,1,1,0,0,1,5,21,0,0,0,1,-0.45,1.07,0
2,0,0,3,0,0,1,4,7,0,0,0,0,-0.28,0.4,0
2,0,1,4,0,0,1,2,15,0,0,0,1,-0.55,-0.24,0
3,0,0,1,0,0,1,4,30,0,0,0,0,-0.65,1.93,1
2,0,1,2,0,0,0,12,23,0,0,0,1,-0.15,-0.38,0
3,0,2,2,0,0,0,5,15,0,0,0,1,-0.09,1.38,1
2,0,2,2,0,0,0,4,8,0,0,0,1,-0.29,-0.95,0
1,0,2,7,0,0,0,9,2,0,0,0,1,0.03,-0.64,0
